Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:19:32 pm,46.00,52.000,01/29/2020 02:20:58 pm,46.00,38.000,01/29/2020 02:24:48 pm,46.00,54.000,01/29/2020 02:25:50 pm,46.00,44.000,01/29/2020 02:31:12 pm,92.00,92.000,01/29/2020 02:33:59 pm,92.00,77.000,01/29/2020 02:36:08 pm,92.00,88.000,01/29/2020 02:48:34 pm,230.00,314.000
01/29/2020 02:19:33 pm,47.00,32.000,01/29/2020 02:20:59 pm,47.00,47.000,01/29/2020 02:24:49 pm,47.00,49.000,01/29/2020 02:25:51 pm,47.00,49.000,01/29/2020 02:31:14 pm,94.00,78.000,01/29/2020 02:34:01 pm,94.00,81.000,01/29/2020 02:36:10 pm,94.00,93.000,01/29/2020 02:48:39 pm,235.00,329.000
01/29/2020 02:19:34 pm,48.00,42.000,01/29/2020 02:21:00 pm,48.00,41.000,01/29/2020 02:24:50 pm,48.00,42.000,01/29/2020 02:25:52 pm,48.00,43.000,01/29/2020 02:31:16 pm,96.00,86.000,01/29/2020 02:34:03 pm,96.00,77.000,01/29/2020 02:36:12 pm,96.00,71.000,01/29/2020 02:48:44 pm,240.00,314.000
01/29/2020 02:19:35 pm,49.00,45.000,01/29/2020 02:21:01 pm,49.00,43.000,01/29/2020 02:24:51 pm,49.00,56.000,01/29/2020 02:25:53 pm,49.00,41.000,01/29/2020 02:31:18 pm,98.00,70.000,01/29/2020 02:34:05 pm,98.00,85.000,01/29/2020 02:36:14 pm,98.00,84.000,01/29/2020 02:48:49 pm,245.00,317.000
01/29/2020 02:19:36 pm,50.00,44.000,01/29/2020 02:21:02 pm,50.00,49.000,01/29/2020 02:24:52 pm,50.00,37.000,01/29/2020 02:25:54 pm,50.00,42.000,01/29/2020 02:31:20 pm,100.00,79.000,01/29/2020 02:34:07 pm,100.00,108.000,01/29/2020 02:36:16 pm,100.00,74.000,01/29/2020 02:48:54 pm,250.00,303.000
01/29/2020 02:19:37 pm,51.00,47.000,01/29/2020 02:21:03 pm,51.00,43.000,01/29/2020 02:24:53 pm,51.00,47.000,01/29/2020 02:25:55 pm,51.00,50.000,01/29/2020 02:31:22 pm,102.00,59.000,01/29/2020 02:34:09 pm,102.00,97.000,01/29/2020 02:36:18 pm,102.00,94.000,01/29/2020 02:48:59 pm,255.00,348.000
01/29/2020 02:19:38 pm,52.00,50.000,01/29/2020 02:21:04 pm,52.00,47.000,01/29/2020 02:24:54 pm,52.00,62.000,01/29/2020 02:25:56 pm,52.00,49.000,01/29/2020 02:31:24 pm,104.00,65.000,01/29/2020 02:34:11 pm,104.00,96.000,01/29/2020 02:36:20 pm,104.00,88.000,01/29/2020 02:49:04 pm,260.00,321.000
01/29/2020 02:19:39 pm,53.00,54.000,01/29/2020 02:21:05 pm,53.00,38.000,01/29/2020 02:24:55 pm,53.00,54.000,01/29/2020 02:25:57 pm,53.00,31.000,01/29/2020 02:31:26 pm,106.00,80.000,01/29/2020 02:34:13 pm,106.00,81.000,01/29/2020 02:36:22 pm,106.00,82.000,01/29/2020 02:49:09 pm,265.00,312.000
01/29/2020 02:19:40 pm,54.00,40.000,01/29/2020 02:21:06 pm,54.00,46.000,01/29/2020 02:24:56 pm,54.00,51.000,01/29/2020 02:25:58 pm,54.00,46.000,01/29/2020 02:31:28 pm,108.00,89.000,01/29/2020 02:34:15 pm,108.00,93.000,01/29/2020 02:36:24 pm,108.00,84.000,01/29/2020 02:49:14 pm,270.00,318.000
01/29/2020 02:19:41 pm,55.00,35.000,01/29/2020 02:21:07 pm,55.00,52.000,01/29/2020 02:24:57 pm,55.00,42.000,01/29/2020 02:25:59 pm,55.00,44.000,01/29/2020 02:31:30 pm,110.00,75.000,01/29/2020 02:34:17 pm,110.00,71.000,01/29/2020 02:36:26 pm,110.00,80.000,01/29/2020 02:49:19 pm,275.00,331.000
